,Unit,Session,Type,Description,Weight,Due,Length,School
1,GRKA3605,2024-S1C-ND-CC,Skills-based evaluation,Final Assessment (Test),45%,9 May 2024,2 hours,Classics and Ancient History
2,GRKA3605,2024-S1C-ND-CC,Assignment,Essay,45%,3 May 2024,2000wd,Classics and Ancient History
0,ANHS1600,2024-S1C-ND-CC,Assignment,Summative Take-Home Exercise,30%,7 Jun 2024,1500 words,Classics and Ancient History
1,ANHS1600,2024-S1C-ND-CC,Assignment,Tutorial Exercises,20%,Multiple weeks,2 x 500 words,Classics and Ancient History
2,ANHS1600,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,n/a,Classics and Ancient History
3,ANHS1600,2024-S1C-ND-CC,Online task,Early Feedback Task,0%,1 Mar 2024,15 minutes,Classics and Ancient History
4,ANHS1600,2024-S1C-ND-CC,Assignment,Documentary Research Exercise,40%,9 Apr 2024,2000 words,Classics and Ancient History
0,LATN1600,2024-S1C-ND-CC,,Final Exam,40%,Formal exam period,2 hours,Classics and Ancient History
1,LATN1600,2024-S1C-ND-CC,Creative assessment / demonstration,Student Generated Quiz questions,15%,Ongoing,2 x 275 words,Classics and Ancient History
2,LATN1600,2024-S1C-ND-CC,Small continuous assessment,Vocabulary & morphology quiz,15%,Ongoing,6 x 75 words,Classics and Ancient History
3,LATN1600,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,n/a,Classics and Ancient History
4,LATN1600,2024-S1C-ND-CC,Small continuous assessment,Early feedback task,2%,4 Mar 2024,125 words,Classics and Ancient History
5,LATN1600,2024-S1C-ND-CC,Online task,Weekly quizzes (online),18%,Weekly,11 x 125 wrds,Classics and Ancient History
0,ANHS2619,2024-S1C-ND-CC,Assignment,Final Take-Home Exercise,30%,0 Jun 2024,n/a,Classics and Ancient History
1,ANHS2619,2024-S1C-ND-CC,Participation,Tutorial Participation,10%,Ongoing,no set length,Classics and Ancient History
2,ANHS2619,2024-S1C-ND-CC,Assignment,Research Essay,40%,9 Apr 2024,2000w,Classics and Ancient History
3,ANHS2619,2024-S1C-ND-CC,Assignment,Seminar Preparation Journals,20%,Weekly,2 x 500w = 1000w total,Classics and Ancient History
0,ANHS2635,2024-S1C-ND-CC,,Exam,35%,Formal exam period,2 hours,Classics and Ancient History
1,ANHS2635,2024-S1C-ND-CC,Participation,Participation in online discussion,5%,Ongoing,n/a,Classics and Ancient History
2,ANHS2635,2024-S1C-ND-CC,Assignment,Textual commentary,20%,3 Mar 2024,1000wd,Classics and Ancient History
3,ANHS2635,2024-S1C-ND-CC,Assignment,Research essay,40%,8 May 2024,2000wd,Classics and Ancient History
0,ARCO2007,2024-S1C-ND-CC,,Exam,35%,Formal exam period,1.5 hours,Archaeology
1,ARCO2007,2024-S1C-ND-CC,Presentation,Tutorial exercise,15%,Multiple weeks,10 minutes (equivalent to 1000 words),Archaeology
2,ARCO2007,2024-S1C-ND-CC,Assignment,Essay,50%,2 Apr 2024,2000 words,Archaeology
0,HSTY2677,2024-S1C-ND-CC,Assignment,Essay,60%,3 Jun 2024,3000 words,History
1,HSTY2677,2024-S1C-ND-CC,Participation,Tutorial participation,10%,Ongoing,n/a,History
2,HSTY2677,2024-S1C-ND-CC,Assignment,Short essay,30%,6 Mar 2024,1500 words,History
0,LATN2600,2024-S1C-ND-CC,,Exam,35%,Formal exam period,2 hours,Classics and Ancient History
1,LATN2600,2024-S1C-ND-CC,Participation,Participation,5%,Ongoing,See Canvas for details,Classics and Ancient History
2,LATN2600,2024-S1C-ND-CC,Assignment,Assignment 1,6%,9 Feb 2024,250 words equivalent,Classics and Ancient History
3,LATN2600,2024-S1C-ND-CC,Assignment,Assignment 2,6%,4 Mar 2024,250 wds equivalent,Classics and Ancient History
4,LATN2600,2024-S1C-ND-CC,Assignment,Assignment 3,6%,8 Mar 2024,250 wds equivalent,Classics and Ancient History
5,LATN2600,2024-S1C-ND-CC,Assignment,Assignment 4,6%,8 Apr 2024,250 wds equivalent,Classics and Ancient History
6,LATN2600,2024-S1C-ND-CC,Assignment,Assignment 5,6%,2 May 2024,250 wds equivalent,Classics and Ancient History
7,LATN2600,2024-S1C-ND-CC,Tutorial quiz,Weekly quizzes (Mondays weeks 2–7),30%,Weekly,1250 words equivalent,Classics and Ancient History
0,ANHS3636,2024-S1C-ND-CC,Online task,Map Quiz 1,2.5%,Multiple weeks,50wd,Classics and Ancient History
1,ANHS3636,2024-S1C-ND-CC,Online task,Map Quiz 2,2.5%,Multiple weeks,50wd,Classics and Ancient History
2,ANHS3636,2024-S1C-ND-CC,Participation,Tutorial Participation,10%,Ongoing,-,Classics and Ancient History
3,ANHS3636,2024-S1C-ND-CC,Assignment,Research Essay,50%,Please select a valid week from the list below,2950wd,Classics and Ancient History
4,ANHS3636,2024-S1C-ND-CC,Assignment,Take-Home Assignment,35%,Please select a valid week from the list below,1450 words,Classics and Ancient History
0,ANTH1001,2024-S1C-ND-CC,Assignment,Third short essay,20%,7 Jun 2024,1000 words,Anthropology
1,ANTH1001,2024-S1C-ND-CC,Online task,Weekly reading notes,25%,Multiple weeks,100 words each week (2-13),Anthropology
2,ANTH1001,2024-S1C-ND-CC,Small test,Quiz,5%,4 Mar 2024,Multiple choice quiz (300 words equiv),Anthropology
3,ANTH1001,2024-S1C-ND-CC,Assignment,First short essay,20%,9 Mar 2024,1000 words,Anthropology
4,ANTH1001,2024-S1C-ND-CC,Assignment,Second short essay,20%,3 May 2024,1000 words,Anthropology
5,ANTH1001,2024-S1C-ND-CC,Participation,Class participation and preparation,10%,Weekly,Ongoing,Anthropology
0,ANTH2700,2024-S1C-ND-CC,Presentation,Group presentation,20%,Multiple weeks,1000 words,Anthropology
1,ANTH2700,2024-S1C-ND-CC,Online task,Participation,10%,Ongoing,N/A,Anthropology
2,ANTH2700,2024-S1C-ND-CC,Assignment,Short written reflection,25%,1 Mar 2024,1000 words,Anthropology
3,ANTH2700,2024-S1C-ND-CC,Assignment,Essay,45%,3 May 2024,2500 words,Anthropology
0,ANTH2627,2024-S1C-ND-CC,Assignment,Take-home essay,50%,3 Jun 2024,2000 words,Anthropology
1,ANTH2627,2024-S1C-ND-CC,Assignment,Short essay,30%,7 Mar 2024,1500 words,Anthropology
2,ANTH2627,2024-S1C-ND-CC,Online task,Weekly reading responses,20%,Weekly,10 weeks x 100 words,Anthropology
0,ANTH3604,2024-S1C-ND-CC,Presentation,In-class presentation,20%,Multiple weeks,10 mins per student,Anthropology
1,ANTH3604,2024-S1C-ND-CC,Presentation,Canvas discussion contributions,20%,Multiple weeks,"100 words x 10 discussion posts = 1,000",Anthropology
2,ANTH3604,2024-S1C-ND-CC,Assignment,Review of paper,20%,5 Mar 2024,"1,000 words",Anthropology
3,ANTH3604,2024-S1C-ND-CC,Assignment,Ethnographic reflection,20%,8 Apr 2024,"1,500 words",Anthropology
4,ANTH3604,2024-S1C-ND-CC,Assignment,Research essay,20%,4 May 2024,"1,500 words",Anthropology
0,ANTH3621,2024-S1C-ND-CC,Assignment,Description of a speech event,20%,5 Mar 2024,1000,Anthropology
1,ANTH3621,2024-S1C-ND-CC,Assignment,Exposition of a key concept,20%,3 Apr 2024,1000,Anthropology
2,ANTH3621,2024-S1C-ND-CC,Assignment,The social life of language: Three cases,35%,5 May 2024,2500,Anthropology
3,ANTH3621,2024-S1C-ND-CC,Small continuous assessment,Contributions to an online knowledge base,10%,Weekly,500 words total,Anthropology
4,ANTH3621,2024-S1C-ND-CC,Small continuous assessment,Weekly journal,15%,Weekly,1000 words total,Anthropology
0,BCMB2001,2024-S1C-ND-CC,,Final Exam,50%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BCMB2001,2024-S1C-ND-CC,Online task,Electronic laboratory notebook,30%,Multiple weeks,Notebooks completed after each practical,Life and Environmental Sciences Academic Operations
2,BCMB2001,2024-S1C-ND-CC,Tutorial quiz,Metabolism Quiz,5%,8 Mar 2024,30 minute quiz,Life and Environmental Sciences Academic Operations
3,BCMB2001,2024-S1C-ND-CC,Assignment,Science Communication Article,10%,8 Apr 2024,500 words,Life and Environmental Sciences Academic Operations
4,BCMB2001,2024-S1C-ND-CC,Tutorial quiz,Molecular Biology Quiz,5%,4 May 2024,30 minute quiz,Life and Environmental Sciences Academic Operations
0,BCMB2901,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BCMB2901,2024-S1C-ND-CC,Online task,Electronic laboratory notebook,30%,Multiple weeks,Notebooks completed after each practical,Life and Environmental Sciences Academic Operations
2,BCMB2901,2024-S1C-ND-CC,Tutorial quiz,Metabolism Quiz,5%,8 Mar 2024,30 minute quiz,Life and Environmental Sciences Academic Operations
3,BCMB2901,2024-S1C-ND-CC,Assignment,Cloning presentation,10%,8 Apr 2024,Five-minute video,Life and Environmental Sciences Academic Operations
4,BCMB2901,2024-S1C-ND-CC,Tutorial quiz,Molecular Biology Quiz,5%,4 May 2024,30 minute quiz,Life and Environmental Sciences Academic Operations
0,MEDS2003,2024-S1C-ND-CC,,Final Exam,50%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,MEDS2003,2024-S1C-ND-CC,Online task,Electronic laboratory notebook,30%,Multiple weeks,Notebooks completed after each practical,Life and Environmental Sciences Academic Operations
2,MEDS2003,2024-S1C-ND-CC,Tutorial quiz,Metabolism Quiz,5%,8 Mar 2024,30 minute quiz,Life and Environmental Sciences Academic Operations
3,MEDS2003,2024-S1C-ND-CC,Assignment,Press Release,10%,8 Apr 2024,500 words,Life and Environmental Sciences Academic Operations
4,MEDS2003,2024-S1C-ND-CC,Tutorial quiz,Molecular Biology Quiz,5%,4 May 2024,30 minute quiz,Life and Environmental Sciences Academic Operations
0,AMED3001,2024-S1C-ND-WC,Assignment,Writing your own journal article,35%,7 Jun 2024,5 pages,Department of Medical Sciences
1,AMED3001,2024-S1C-ND-WC,Assignment,Analysing data and communicating like a professional,25%,8 Mar 2024,1 hour,Department of Medical Sciences
2,AMED3001,2024-S1C-ND-WC,Tutorial quiz,Module 4 quiz,20%,Week 12,1 hour,Department of Medical Sciences
3,AMED3001,2024-S1C-ND-WC,Presentation,Cancer Case Study,20%,Week 13,5min group oral presentation,Department of Medical Sciences
0,AMED3901,2024-S1C-ND-WC,Assignment,Writing your own research proposal,35%,7 Jun 2024,5 pages,Department of Medical Sciences
1,AMED3901,2024-S1C-ND-WC,Assignment,Analysing data and communicating like a professional,25%,8 Mar 2024,1 hour,Department of Medical Sciences
2,AMED3901,2024-S1C-ND-WC,Presentation,Cancer Case Study,20%,Week 12,Preparation and 5min oral presentation,Department of Medical Sciences
3,AMED3901,2024-S1C-ND-WC,Tutorial quiz,In-class quiz,20%,Week 12,1 hour,Department of Medical Sciences
0,AMED3002,2024-S1C-ND-WC,Assignment,Reflection 2,2%,7 Jun 2024,2 pages,Department of Medical Sciences
1,AMED3002,2024-S1C-ND-WC,Assignment,Project report,15%,3 Jun 2024,15 pages,Department of Medical Sciences
2,AMED3002,2024-S1C-ND-WC,Assignment,Lab report: module 1,4%,8 Mar 2024,4 pages,Department of Medical Sciences
3,AMED3002,2024-S1C-ND-WC,Assignment,Lab report: module 2,4%,9 Mar 2024,4 pages,Department of Medical Sciences
4,AMED3002,2024-S1C-ND-WC,Assignment,Multimedia,10%,8 Apr 2024,"3 minutes, 500 words",Department of Medical Sciences
5,AMED3002,2024-S1C-ND-WC,Presentation,Oral presentation 1,10%,8 Apr 2024,10 minutes,Department of Medical Sciences
6,AMED3002,2024-S1C-ND-WC,Assignment,Reflection 1,2%,2 Apr 2024,2 pages,Department of Medical Sciences
7,AMED3002,2024-S1C-ND-WC,Skills-based evaluation,Skill-based exam,35%,5 Apr 2024,2 hours,Department of Medical Sciences
8,AMED3002,2024-S1C-ND-WC,Assignment,Lab report: module 3,4%,6 Apr 2024,4 pages,Department of Medical Sciences
9,AMED3002,2024-S1C-ND-WC,Assignment,Lab report: module 4,4%,7 May 2024,4 pages,Department of Medical Sciences
10,AMED3002,2024-S1C-ND-WC,Presentation,Oral presentation 2,10%,0 May 2024,10 minutes,Department of Medical Sciences
0,ARCO1001,2024-S1C-ND-CC,Tutorial quiz,Early Feedback Assessment: Online quiz in Canvas: stone (Early Feedback Assessment),5%,0 Mar 2024,250 words,Archaeology
1,ARCO1001,2024-S1C-ND-CC,Small test,Online quiz on Lectures 2-8,10%,1 Mar 2024,500wd,Archaeology
2,ARCO1001,2024-S1C-ND-CC,Tutorial quiz,Online quiz in Canvas 2: metals,5%,4 Apr 2024,250 words,Archaeology
3,ARCO1001,2024-S1C-ND-CC,Assignment,Cataloguing Exercise plus Essay,50%,8 Apr 2024,2000 words,Archaeology
4,ARCO1001,2024-S1C-ND-CC,Tutorial quiz,Online quiz in Canvas: Ceramics,5%,8 Apr 2024,250 words,Archaeology
5,ARCO1001,2024-S1C-ND-CC,Small test,Online quiz on Lectures 10-18,10%,2 May 2024,500wd,Archaeology
6,ARCO1001,2024-S1C-ND-CC,Tutorial quiz,Online quiz in Canvas: glass,5%,9 May 2024,250 words,Archaeology
7,ARCO1001,2024-S1C-ND-CC,Small test,Online quiz on Lectures 19-24,10%,3 May 2024,500wd,Archaeology
0,ARCO2109,2024-S1C-ND-CC,Assignment,Quiz 1,10%,7 Mar 2024,250 wds,Archaeology
1,ARCO2109,2024-S1C-ND-CC,Assignment,Quiz 2,10%,0 Apr 2024,250 wds,Archaeology
2,ARCO2109,2024-S1C-ND-CC,Assignment,Quiz 3,10%,1 May 2024,250 wds,Archaeology
3,ARCO2109,2024-S1C-ND-CC,Online task,1000 wd tutorial assignment,20%,6 May 2024,1000 wds,Archaeology
4,ARCO2109,2024-S1C-ND-CC,Assignment,Quiz 4,10%,5 May 2024,250 wds,Archaeology
5,ARCO2109,2024-S1C-ND-CC,Assignment,2500 wd essay,40%,6 May 2024,2500 wds,Archaeology
0,ARCO3014,2024-S1C-ND-CC,Assignment,Object Biography,35%,1 Mar 2024,1500 words,Archaeology
1,ARCO3014,2024-S1C-ND-CC,Assignment,Annotated Bibliography,15%,7 Apr 2024,1500 words,Archaeology
2,ARCO3014,2024-S1C-ND-CC,Assignment,Research Essay,50%,7 May 2024,3000 words,Archaeology
0,ARCO3016,2024-S1C-ND-CC,Assignment,Research proposal,30%,5 Jun 2024,2000wds,Archaeology
1,ARCO3016,2024-S1C-ND-CC,Assignment,Lab #1,6.67%,9 Feb 2024,200wds,Archaeology
2,ARCO3016,2024-S1C-ND-CC,Assignment,Lab #2,6.67%,7 Mar 2024,200wds,Archaeology
3,ARCO3016,2024-S1C-ND-CC,Assignment,Lab #3,6.67%,4 Mar 2024,200wds,Archaeology
4,ARCO3016,2024-S1C-ND-CC,Assignment,Lab #4,6.67%,1 Mar 2024,200wds,Archaeology
5,ARCO3016,2024-S1C-ND-CC,Assignment,Lab #5,6.67%,1 Apr 2024,200wds,Archaeology
6,ARCO3016,2024-S1C-ND-CC,Assignment,Lab #6,6.67%,8 Apr 2024,200wds,Archaeology
7,ARCO3016,2024-S1C-ND-CC,Assignment,Lab #7,6.66%,6 Apr 2024,200wds,Archaeology
8,ARCO3016,2024-S1C-ND-CC,Assignment,Lab #8,6.66%,2 May 2024,200wds,Archaeology
9,ARCO3016,2024-S1C-ND-CC,Assignment,Lab #9,6.66%,9 May 2024,200wds,Archaeology
10,ARCO3016,2024-S1C-ND-CC,Assignment,Presentation,10%,4 May 2024,700wds,Archaeology
0,ARHT1001,2024-S1C-ND-CC,Tutorial quiz,Reading Student Writing,5%,3 Mar 2024,1 hour,Art History
1,ARHT1001,2024-S1C-ND-CC,Short release assignment,Writing Visual Analysis,35%,Week 07,1 hour,Art History
2,ARHT1001,2024-S1C-ND-CC,Assignment,Essay,60%,6 May 2024,2500,Art History
0,ARHT2616,2024-S1C-ND-CC,Participation,Class participation,10%,Ongoing,n/a,Art History
1,ARHT2616,2024-S1C-ND-CC,Assignment,Visual Analysis,35%,8 Mar 2024,1500 words,Art History
2,ARHT2616,2024-S1C-ND-CC,Assignment,Research Essay,55%,4 May 2024,3000 words,Art History
0,ARHT2671,2024-S1C-ND-CC,Assignment,Exhibition Review & Visual Analysis Exercise,40%,9 Apr 2024,2000 words,Art History
1,ARHT2671,2024-S1C-ND-CC,Assignment,Essay,60%,4 May 2024,2500 words,Art History
0,ARHT3633,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,Ongoing,Art History
1,ARHT3633,2024-S1C-ND-CC,Assignment,Curatorial project,40%,9 Apr 2024,2000 words,Art History
2,ARHT3633,2024-S1C-ND-CC,Assignment,Essay,50%,4 May 2024,2500 words,Art History
0,ARHT3663,2024-S1C-ND-CC,Assignment,Final research paper,50%,6 May 2024,2500 words,Art History
1,ARHT3663,2024-S1C-ND-CC,Presentation,Tutorial presentation,15%,Weekly,"20 minutes, 750 words",Art History
2,ARHT3663,2024-S1C-ND-CC,Assignment,Tutorial critical response,20%,Weekly,500 words,Art History
3,ARHT3663,2024-S1C-ND-CC,Assignment,Presentation Write Up,15%,Weekly,750 words,Art History
0,ARHT3681,2024-S1CIJA-BM-CC,Attendance,Paris Quiz,0%,Week 01,Paris history Quiz,Art History
1,ARHT3681,2024-S1CIJA-BM-CC,Presentation,Group Presentation Site Analysis,30%,9 Feb 2024,15 Minutes,Art History
2,ARHT3681,2024-S1CIJA-BM-CC,Assignment,Critical Reflective Journal,35%,3 Feb 2024,3000 words,Art History
3,ARHT3681,2024-S1CIJA-BM-CC,Assignment,Monument Presentation,35%,3 Feb 2024,A ten minute Powerpoint with Video,Art History
0,ASNS1602,2024-S1C-ND-CC,Assignment,Tutorial writing task,30%,Multiple weeks,1000 words (x1),Asian Studies
1,ASNS1602,2024-S1C-ND-CC,Tutorial quiz,Early Feedback Task,0%,Week 02,15 mns,Asian Studies
2,ASNS1602,2024-S1C-ND-CC,Small test,Final Test,30%,Week 13,1000 words,Asian Studies
3,ASNS1602,2024-S1C-ND-CC,Assignment,Essay,40%,Week 13,2500 words,Asian Studies
0,ASNS2004,2024-S1C-ND-CC,Presentation,Tutorial presentation,20%,-,"10 mn, 1000 words",Asian Studies
1,ASNS2004,2024-S1C-ND-CC,Assignment,Final paper,40%,Formal exam period,2000 words,Asian Studies
2,ASNS2004,2024-S1C-ND-CC,Online task,Reading questions,10%,Multiple weeks,50 words * 10 = 500 words,Asian Studies
3,ASNS2004,2024-S1C-ND-CC,Assignment,Midterm essay,20%,Week 11,1000 words,Asian Studies
4,ASNS2004,2024-S1C-ND-CC,Participation,Participation,10%,Weekly,Continuous,Asian Studies
0,ASNS2011,2024-S1C-ND-CC,Assignment,Essay 2,30%,9 Jun 2024,1500wd,Asian Studies
1,ASNS2011,2024-S1C-ND-CC,Presentation,Tutorial Leadership,15%,Multiple weeks,750wd equivalent,Asian Studies
2,ASNS2011,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,N/A,Asian Studies
3,ASNS2011,2024-S1C-ND-CC,Assignment,Essay 1,30%,8 Apr 2024,1500wd,Asian Studies
4,ASNS2011,2024-S1C-ND-CC,Small test,Quiz,15%,Week 13,30 minutes (750 wd eq),Asian Studies
0,ASNS2618,2024-S1C-ND-CC,Presentation,Oral presentation,15%,Ongoing,equivalent of 750wds,Asian Studies
1,ASNS2618,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,every tutorial,Asian Studies
2,ASNS2618,2024-S1C-ND-CC,Assignment,Short Essay,15%,1 Mar 2024,750 words,Asian Studies
3,ASNS2618,2024-S1C-ND-CC,Tutorial quiz,test,20%,Week 13,equivalent of 1000wds,Asian Studies
4,ASNS2618,2024-S1C-ND-CC,Assignment,Final Essay,40%,6 May 2024,2000 words,Asian Studies
0,ASNS2627,2024-S1C-ND-CC,Presentation,Tutorial presentation,15%,-,500 words,Asian Studies
1,ASNS2627,2024-S1C-ND-CC,Participation,Class participation,15%,-,n/a,Asian Studies
2,ASNS2627,2024-S1C-ND-CC,Participation,Online discussions for tutorials,15%,Multiple weeks,500 words,Asian Studies
3,ASNS2627,2024-S1C-ND-CC,Assignment,AI Assignment,20%,Week 07,1000 words,Asian Studies
4,ASNS2627,2024-S1C-ND-CC,Assignment,Major essay,35%,Week 12,2500 words,Asian Studies
0,ASNS2634,2024-S1C-ND-CC,Small test,In-Semester Final Test,40%,2 May 2024,N/A,Asian Studies
1,ASNS2634,2024-S1C-ND-CC,Small test,In-Semester Midterm Test,20%,7 Mar 2024,50 mins,Asian Studies
2,ASNS2634,2024-S1C-ND-CC,Small continuous assessment,Assignment,30%,0 May 2024,1500 words,Asian Studies
3,ASNS2634,2024-S1C-ND-CC,Participation,Participation,10%,Weekly,1x50min meeting/week,Asian Studies
0,CHNS2004,2024-S1C-ND-CC,Assignment,Essay,30%,9 Jun 2024,1500wd,Chinese Studies
1,CHNS2004,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,NA,Chinese Studies
2,CHNS2004,2024-S1C-ND-CC,Presentation,Presentation,20%,Ongoing,1000wd equivalent,Chinese Studies
3,CHNS2004,2024-S1C-ND-CC,Online task,Weekly journal,20%,Ongoing,1000wd equivalent,Chinese Studies
4,CHNS2004,2024-S1C-ND-CC,Small test,Quiz,20%,Week 13,30 minutes,Chinese Studies
0,CHNS2613,2024-S1C-ND-CC,Assignment,Essay,40%,3 Jun 2024,2000 words,Chinese Studies
1,CHNS2613,2024-S1C-ND-CC,Small continuous assessment,In-class quizzes,10%,Multiple weeks,Equivalent to 500 words,Chinese Studies
2,CHNS2613,2024-S1C-ND-CC,Presentation,Case study presentation,20%,Multiple weeks,500 words; 4 minutes,Chinese Studies
3,CHNS2613,2024-S1C-ND-CC,Small test,In-department test,30%,3 May 2024,1.5 hours (equivalent to 1500 words),Chinese Studies
0,HSTY2640,2024-S1C-ND-CC,Assignment,Research Essay,50%,3 Jun 2024,2800 words,History
1,HSTY2640,2024-S1C-ND-CC,Participation,Tutorial Participation,10%,Ongoing,n/a,History
2,HSTY2640,2024-S1C-ND-CC,Assignment,Comparative Essay,30%,2 Mar 2024,1250 words,History
3,HSTY2640,2024-S1C-ND-CC,Assignment,Annotated Research Bibliography,10%,6 Apr 2024,450 words,History
0,KRNS2641,2024-S1C-ND-CC,Presentation,Tutorial presentation,10%,-,1000 words (= 10 minutes),Korean Studies
1,KRNS2641,2024-S1C-ND-CC,Assignment,Final essay,40%,Formal exam period,2000-word,Korean Studies
2,KRNS2641,2024-S1C-ND-CC,Small continuous assessment,Short quizzes and participation,10%,Ongoing,100 words,Korean Studies
